('Philosophy', 'Complexity', 'Anthropology'),0
('Arts', 'Cognitive Science', 'Education'),0
('Arts', 'Cognitive Science', 'Computer Science'),0
('Arts', 'Biology', 'Education'),0
('Arts', 'Biology', 'Computer Science'),0
('Arts', 'Education', 'Computer Science'),0
('Mathematics', 'Cognitive Science', 'Biology'),0
('Mathematics', 'Cognitive Science', 'Education'),2
('Mathematics', 'Cognitive Science', 'Computer Science'),0
('Mathematics', 'Biology', 'Education'),0
('Mathematics', 'Biology', 'Computer Science'),0
('Mathematics', 'Education', 'Computer Science'),0
('Cognitive Science', 'Biology', 'Education'),0
('Cognitive Science', 'Biology', 'Computer Science'),0
('Cognitive Science', 'Education', 'Computer Science'),0
('Biology', 'Education', 'Computer Science'),0
